# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,device,daily_avg_rating,total_avg_rating
20140130,HTC HTC_7060 (cp5dug),0.0,5.0
20140130,Sony Ericsson LT18i (LT18i),0.0,5.0
20140130,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140130,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140130,C1904,0.0,5.0
20140129,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140129,Samsung Galaxy Note II (t03g),0.0,5.0
20140129,Google Nexus 4 (mako),0.0,5.0
20140129,HTC HTC One (m7),0.0,5.0
20140129,Samsung Galaxy S3 (m0),0.0,5.0
20140129,Samsung Galaxy S4 (ja3g),0.0,5.0
20140129,HTC HTC One X (endeavoru),0.0,5.0
20140129,HTC HTC Butterfly (dlxub1),0.0,5.0
20140129,HTC HTC_7060 (cp5dug),0.0,5.0
20140129,Sony Ericsson LT18i (LT18i),0.0,5.0
20140129,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140129,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140129,C1904,0.0,5.0
20140128,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140128,Samsung Galaxy Note II (t03g),0.0,5.0
20140128,Google Nexus 4 (mako),0.0,5.0
20140128,HTC HTC One (m7),0.0,5.0
20140128,Samsung Galaxy S3 (m0),0.0,5.0
20140128,Samsung Galaxy S4 (ja3g),0.0,5.0
20140128,HTC HTC One X (endeavoru),0.0,5.0
20140128,HTC HTC Butterfly (dlxub1),0.0,5.0
20140128,HTC HTC_7060 (cp5dug),0.0,5.0
20140128,Sony Ericsson LT18i (LT18i),0.0,5.0
20140128,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140128,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140128,C1904,0.0,5.0
20140127,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140127,Samsung Galaxy Note II (t03g),0.0,5.0
20140127,Google Nexus 4 (mako),0.0,5.0
20140127,HTC HTC One (m7),0.0,5.0
20140127,Samsung Galaxy S3 (m0),0.0,5.0
20140127,Samsung Galaxy S4 (ja3g),5.0,5.0
20140127,HTC HTC One X (endeavoru),0.0,5.0
20140127,HTC HTC Butterfly (dlxub1),0.0,5.0
20140127,HTC HTC_7060 (cp5dug),0.0,5.0
20140127,Sony Ericsson LT18i (LT18i),0.0,5.0
20140127,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140127,Sony Ericsson Xperia Z1 (C6902),0.0,5.0
20140127,C1904,0.0,5.0
20140126,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140126,Samsung Galaxy Note II (t03g),0.0,5.0
20140126,Google Nexus 4 (mako),0.0,5.0
20140126,HTC HTC One (m7),0.0,5.0
20140126,Samsung Galaxy S3 (m0),0.0,5.0
20140126,Samsung Galaxy S4 (ja3g),0.0,5.0
20140126,HTC HTC One X (endeavoru),0.0,5.0
20140126,HTC HTC Butterfly (dlxub1),0.0,5.0
20140126,Sony Ericsson LT18i (LT18i),0.0,5.0
20140126,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140126,C1904,0.0,5.0
20140125,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140125,Samsung Galaxy Note II (t03g),0.0,5.0
20140125,Google Nexus 4 (mako),0.0,5.0
20140125,HTC HTC One (m7),0.0,5.0
20140125,Samsung Galaxy S3 (m0),0.0,5.0
20140125,Samsung Galaxy S4 (ja3g),0.0,5.0
20140125,HTC HTC One X (endeavoru),0.0,5.0
20140125,HTC HTC Butterfly (dlxub1),0.0,5.0
20140125,Sony Ericsson LT18i (LT18i),0.0,5.0
20140125,Samsung Galaxy S2 (GT-I9100),0.0,5.0
20140125,C1904,0.0,5.0
20140124,HTC HTC J Z321e (valentewxc9),0.0,5.0
20140124,Samsung Galaxy Note II (t03g),0.0,5.0
20140124,Google Nexus 4 (mako),0.0,5.0
20140124,HTC HTC One (m7),0.0,5.0
20140124,Samsung Galaxy S3 (m0),0.0,5.0
20140124,Samsung Galaxy S4 (ja3g),0.0,5.0
