# -------------------------------------------------------
# App: com.phil.exchange.year, date: 20140116-20140214
# -------------------------------------------------------

date,os_version,current_device_installs,daily_device_installs,daily_device_uninstalls,daily_device_upgrades,current_user_installs,total_user_installs,daily_user_installs,daily_user_uninstalls
20140118,Android 4.1,4,0,0,0,4,5,0,0
20140118,Android 2.3.3 - 2.3.7,1,0,0,0,1,1,0,0
20140117,Android 2.2,1,0,0,0,1,1,0,0
20140117,Android 4.4,1,1,0,0,1,1,1,0
20140117,Android 4.3,3,1,0,0,3,3,1,0
20140117,Android 4.2,2,1,0,0,2,2,1,0
20140117,Android 4.1,4,0,0,0,4,5,0,0
20140117,Android 2.3.3 - 2.3.7,1,1,0,0,1,1,1,0
20140116,Android 2.2,1,1,0,0,1,1,1,0
20140116,Android 4.3,2,2,0,0,2,2,2,0
20140116,Android 4.2,1,1,0,0,1,1,1,0
20140116,Android 4.1,4,5,1,0,4,5,5,1
